BG,0.0
GAMMA,0.0
COLUMN,0.0
MU,-10.0
VARIANCE,ROW,DISTANCE
3.5000000000000018,1,0.020901868480155673
3.6000000000000014,1,0.023175094972878604
3.700000000000002,1,0.026606486982530448
3.800000000000002,1,0.02847111335416584
3.9000000000000026,1,0.030950779233054962
4.000000000000002,1,0.0336719800575395
4.100000000000002,1,0.03657330686728481
4.200000000000003,1,0.04089863961990197
4.300000000000003,1,0.04734309527774675
4.400000000000002,1,0.05660727121525445
4.500000000000003,1,0.06369465129951958
4.600000000000004,1,0.0726716171331575
4.700000000000002,1,0.08204336662983314
4.800000000000003,1,0.08740596344742942
4.900000000000004,1,0.0928204387909121
5.000000000000004,1,0.10006957977958354
5.100000000000003,1,0.10634677362106083
5.200000000000003,1,0.11362394734531225
5.300000000000003,1,0.11977426483230627
5.400000000000005,1,0.12343220593196705
5.500000000000004,1,0.12167831913880825
5.600000000000004,1,0.1384197216940731
5.700000000000005,1,0.14580958161988522
5.800000000000005,1,0.153184190210772
5.900000000000004,1,0.15774747987592025
6.0000000000000036,1,0.16159703477073584
6.100000000000004,1,0.16702358173138707
6.200000000000004,1,0.1668883186973626
6.300000000000004,1,0.1626703915902538
6.400000000000005,1,0.16737542488037024
1.4999999999999998,5,0.0019737745966829103
1.6,5,0.0019122580848638816
1.7,5,0.0018566746248815992
1.8,5,0.0018065460270022665
1.9000000000000004,5,0.0017616467970562916
2.0000000000000004,5,0.0017217070236855325
2.1,5,0.0016866475708108256
2.2000000000000006,5,0.0016568810310678467
2.300000000000001,5,0.001530181918779332
2.400000000000001,5,0.001499442090512543
2.500000000000001,5,0.0014737922016365055
2.600000000000001,5,0.0014550439194265428
2.700000000000001,5,0.00144326926016977
2.8000000000000007,5,0.0014352292132354704
2.9000000000000012,5,0.0014309397842152773
3.0000000000000013,5,0.0014309662630245432
3.1000000000000014,5,0.0014392660995952004
3.2000000000000015,5,0.0014604520259465217
3.3000000000000016,5,0.0014964193840429066
3.4000000000000017,5,0.001549232089237978
3.5000000000000018,5,0.0016611766675151667
3.6000000000000014,5,0.0016472685725673986
3.700000000000002,5,0.0016637648715011266
3.800000000000002,5,0.002050873891538327
3.9000000000000026,5,0.0020554220801597537
4.000000000000002,5,0.0021460317757200555
4.100000000000002,5,0.0027865016305812455
4.200000000000003,5,0.003477298659920763
4.300000000000003,5,0.00431606345324198
4.400000000000002,5,0.005101501009414372
4.500000000000003,5,0.005441064530914232
4.600000000000004,5,0.005145096598289225
4.700000000000002,5,0.0055753908816301755
4.800000000000003,5,0.00609386515392097
4.900000000000004,5,0.009230329495226166
5.000000000000004,5,0.010426702187248244
5.100000000000003,5,0.011450708948565631
5.200000000000003,5,0.008259918008366656
5.300000000000003,5,0.008769969597513886
5.400000000000005,5,0.009534893510673999
5.500000000000004,5,0.010244508577627404
5.600000000000004,5,0.011497972328830729
5.700000000000005,5,0.01595554202626091
5.800000000000005,5,0.016787831739403992
5.900000000000004,5,0.010299387869308254
6.0000000000000036,5,0.009071461893940471
6.100000000000004,5,0.010373303603986497
6.200000000000004,5,0.01079919041021499
6.300000000000004,5,0.013299459040978122
6.400000000000005,5,0.020479049279887897
